CountryName,CountryCode,RegionName,RegionCode,Date,H2_Testing.policy
Aruba,ABW,,,20200716,2
Aruba,ABW,,,20200717,2
Aruba,ABW,,,20200718,2
Aruba,ABW,,,20200719,2
Aruba,ABW,,,20200720,2
Aruba,ABW,,,20200721,2
Aruba,ABW,,,20200722,2
Aruba,ABW,,,20200723,2
Aruba,ABW,,,20200724,2
Aruba,ABW,,,20200725,2
Aruba,ABW,,,20200726,2
Aruba,ABW,,,20200727,2
Aruba,ABW,,,20200728,2
Aruba,ABW,,,20200729,2
Aruba,ABW,,,20200730,2
Aruba,ABW,,,20200731,2
Aruba,ABW,,,20200801,2
Aruba,ABW,,,20200802,2
Aruba,ABW,,,20200803,2
Aruba,ABW,,,20200804,2
Aruba,ABW,,,20200805,2
Aruba,ABW,,,20200806,2
Aruba,ABW,,,20200807,2
Aruba,ABW,,,20200808,2
Aruba,ABW,,,20200809,2
Aruba,ABW,,,20200810,2
Aruba,ABW,,,20200811,2
Aruba,ABW,,,20200812,2
Aruba,ABW,,,20200813,2
Aruba,ABW,,,20200814,2
Aruba,ABW,,,20200815,2
Aruba,ABW,,,20200816,2
Aruba,ABW,,,20200817,2
Aruba,ABW,,,20200818,2
Aruba,ABW,,,20200819,2
Aruba,ABW,,,20200820,2
Aruba,ABW,,,20200821,2
Aruba,ABW,,,20200822,2
Aruba,ABW,,,20200823,2
Aruba,ABW,,,20200824,2
Aruba,ABW,,,20200825,2
Aruba,ABW,,,20200826,2
Aruba,ABW,,,20200827,2
Aruba,ABW,,,20200828,NA
Aruba,ABW,,,20200829,NA
Aruba,ABW,,,20200830,NA
Aruba,ABW,,,20200831,NA
Aruba,ABW,,,20200901,NA
Aruba,ABW,,,20200902,NA
Afghanistan,AFG,,,20200101,0
Afghanistan,AFG,,,20200102,0
Afghanistan,AFG,,,20200103,0
Afghanistan,AFG,,,20200104,0
Afghanistan,AFG,,,20200105,0
Afghanistan,AFG,,,20200106,0
Afghanistan,AFG,,,20200107,0
Afghanistan,AFG,,,20200108,0
Afghanistan,AFG,,,20200109,0
Afghanistan,AFG,,,20200110,0
Afghanistan,AFG,,,20200111,0
Afghanistan,AFG,,,20200112,0
Afghanistan,AFG,,,20200113,0
Afghanistan,AFG,,,20200114,0
Afghanistan,AFG,,,20200115,0
Afghanistan,AFG,,,20200116,0
Afghanistan,AFG,,,20200117,0
Afghanistan,AFG,,,20200118,0
Afghanistan,AFG,,,20200119,0
Afghanistan,AFG,,,20200120,0
Afghanistan,AFG,,,20200121,0
Afghanistan,AFG,,,20200122,0
Afghanistan,AFG,,,20200123,0
Afghanistan,AFG,,,20200124,0
Afghanistan,AFG,,,20200125,0
Afghanistan,AFG,,,20200126,0
Afghanistan,AFG,,,20200127,0
Afghanistan,AFG,,,20200128,0
Afghanistan,AFG,,,20200129,0
Afghanistan,AFG,,,20200130,0
Afghanistan,AFG,,,20200131,0
Afghanistan,AFG,,,20200201,0
Afghanistan,AFG,,,20200202,0
Afghanistan,AFG,,,20200203,0
Afghanistan,AFG,,,20200204,0
Afghanistan,AFG,,,20200205,0
Afghanistan,AFG,,,20200206,0
Afghanistan,AFG,,,20200207,0
Afghanistan,AFG,,,20200208,0
Afghanistan,AFG,,,20200209,0
Afghanistan,AFG,,,20200210,0
Afghanistan,AFG,,,20200211,0
Afghanistan,AFG,,,20200212,0
Afghanistan,AFG,,,20200213,0
Afghanistan,AFG,,,20200214,0
Afghanistan,AFG,,,20200215,0
Afghanistan,AFG,,,20200216,0
Afghanistan,AFG,,,20200217,0
Afghanistan,AFG,,,20200218,0
Afghanistan,AFG,,,20200219,0
Afghanistan,AFG,,,20200220,0
Afghanistan,AFG,,,20200221,0
Afghanistan,AFG,,,20200222,0
Afghanistan,AFG,,,20200223,1
Afghanistan,AFG,,,20200224,1
Afghanistan,AFG,,,20200225,1
Afghanistan,AFG,,,20200226,1
Afghanistan,AFG,,,20200227,1
Afghanistan,AFG,,,20200228,1
Afghanistan,AFG,,,20200229,1
Afghanistan,AFG,,,20200301,1
Afghanistan,AFG,,,20200302,1
Afghanistan,AFG,,,20200303,1
Afghanistan,AFG,,,20200304,1
Afghanistan,AFG,,,20200305,1
Afghanistan,AFG,,,20200306,1
Afghanistan,AFG,,,20200307,1
Afghanistan,AFG,,,20200308,1
Afghanistan,AFG,,,20200309,1
Afghanistan,AFG,,,20200310,1
Afghanistan,AFG,,,20200311,1
Afghanistan,AFG,,,20200312,1
Afghanistan,AFG,,,20200313,1
Afghanistan,AFG,,,20200314,1
Afghanistan,AFG,,,20200315,1
Afghanistan,AFG,,,20200316,1
Afghanistan,AFG,,,20200317,1
Afghanistan,AFG,,,20200318,1
Afghanistan,AFG,,,20200319,1
Afghanistan,AFG,,,20200320,1
Afghanistan,AFG,,,20200321,1
Afghanistan,AFG,,,20200322,1
Afghanistan,AFG,,,20200323,1
Afghanistan,AFG,,,20200324,1
Afghanistan,AFG,,,20200325,1
Afghanistan,AFG,,,20200326,1
Afghanistan,AFG,,,20200327,1
Afghanistan,AFG,,,20200328,1
Afghanistan,AFG,,,20200329,1
Afghanistan,AFG,,,20200330,1
Afghanistan,AFG,,,20200331,1
Afghanistan,AFG,,,20200401,1
Afghanistan,AFG,,,20200402,1
Afghanistan,AFG,,,20200403,1
Afghanistan,AFG,,,20200404,1
Afghanistan,AFG,,,20200405,1
Afghanistan,AFG,,,20200406,1
Afghanistan,AFG,,,20200407,1
Afghanistan,AFG,,,20200408,1
Afghanistan,AFG,,,20200409,1
Afghanistan,AFG,,,20200410,1
Afghanistan,AFG,,,20200411,1
Afghanistan,AFG,,,20200412,1
Afghanistan,AFG,,,20200413,1
Afghanistan,AFG,,,20200414,1
Afghanistan,AFG,,,20200415,1
Afghanistan,AFG,,,20200416,1
Afghanistan,AFG,,,20200417,1
